channel_order,channel_name
1,ABC
2,CBS
3,FOX
4,NBC
5,PBS
6,CW
7,MYNET
8,ION-E
9,TELMUN
10,UNI-E
11,BBCNW
12,BLOOMBERG
13,CNBC
14,CNN
15,CSPA-1
16,FOXBN
17,FNC
18,HLN
19,MSNBC
20,WGNAMER
21,ACCN
22,BTN
23,CBSSPT
24,ESPN
25,ESPN2
26,ESPNWS
27,ESPNU
28,FANDU
29,FS1
30,FS2
31,FUSEHD
32,GOLF
33,MTTREND
34,NFLNET
35,MLB
36,NBATV
37,NHLTV
38,OUTDRE
39,SECNET
40,TENNIS
41,A&E
42,AHC
43,AMCALL
44,ANIMAL
45,BBCAME
46,BET
47,BETHER
48,BOOM-E
49,BRAVO
50,TOON-E
51,CMTV
52,CMDY-E
53,COOKING
54,CRIMEINV
55,DESTAMER
56,TDC-E
57,DFCH
58,DLIF
59,DIS-E
60,DISNEYJR
61,DISNEYXD
62,ETV-E
63,FOODTV
64,FREEFRM
65,FX-E
66,FXX
67,FXM
68,FYI
69,GACFAM
70,GSN
71,HALMRK
72,HALLDRM
73,HALLMYS
74,HGTV
75,THC
76,IFC
77,ID
78,LIF-E
79,LMN
80,LOGO
81,MAGN
82,MTV-E
83,MTV2
84,NGC-E
85,NGEOWILD
86,NIC-E
87,NICKJR
88,NTOON
89,OVAT
90,OWN
91,OXGN-E
92,PARMT
93,POP
94,REELZ
95,SCIENCE
96,SMITHSON
97,SUN
98,SyFy
99,TBS
100,TCM
101,TEENNCK
102,TLC
103,TNT
104,TRAVEL
105,TRUTV
106,TVLAND
107,USA-E
108,VH-1E
109,VICE
110,WE
111,WEATH
112,HBOEAL
113,HBO2
114,HBOC-E
115,HBOSG
116,HBOZ-E
117,5STMAX
118,AMX-E
119,MAXEAL
120,MMX-E
121,ParSHO
122,SHO2XE
123,SHOBET
124,SHOX-E
125,SHOWFAM
126,SHOWNEXT
127,SHOCSE
128,SHOWWOM
129,FLIX-E
130,TMCEAL
131,TMC2XE
132,STARZ
133,STARZCIN
134,STARZCOM
135,STARZED
136,STARZBLK
137,STARZFAM
138,ENCORE
139,ENCORFM
140,ENCORSS
141,ENCRACT
142,ENCRBL
143,ENCRCL
144,ENCRWST
145,MGM+
146,MGM+DRV
147,MGM+HIT
148,MGM+MAR
